"anio_ingreso_universidad","sexo","edad","anio_egreso_secundaria","semestre_actual","beca_rendimiento","transporte_universidad","horas_estudio_dia","frecuencia_estudio_dia","modalidad_aprendizaje","smartphone","computadora_personal","horas_redes_sociales","nivel_ingles","asistencia_promedio","riesgo_academico","suspension_academica","tutorias_docentes","habilidades","horas_habilidades_dia","area_interes","estado_sentimental","actividades_extracurriculares","con_quien_vives","problemas_salud","discapacidad_fisica","creditos_completados","ingreso_familiar_anual","horas_clases_semanales","horas_sueno_dia","horas_ejercicio_semanal","tipo_transporte","horas_transporte_total","horas_trabajo_semanal","nota_semestre"
"2019","1","24","2016","11","0","0","2","2","1","1","1","5","0","70","1","0","1","42","4","17","5","0","0","1","0","126","20000","22","8","3","1","6","35","13.40"
"2022","0","20","2020","2","1","1","4","2","0","1","1","4","1","100","0","0","1","42","1","17","5","0","1","0","0","11","80000","17","8","3","1","4","5","13.40"
"2021","0","22","2019","2","1","1","5","2","0","1","1","3","2","98","0","0","1","42","2","17","5","1","0","0","0","11","40000","17","8","3","1","4","0","13.40"
"2022","1","20","2020","2","1","0","5","5","0","1","1","6","0","100","0","0","1","42","3","14","5","0","0","0","0","11","20000","20","7","2","3","3","0","13.40"
"2022","1","21","2020","2","0","0","3","2","0","1","1","2","0","97","0","0","1","42","2","17","5","1","0","0","0","11","10000","14","9","4","2","3","0","13.40"
"2022","1","21","2020","2","1","1","3","3","0","1","1","1","0","98","0","0","1","42","4","17","5","0","0","0","0","11","10000","17","8","3","1","4","0","13.40"
"2022","1","19","2020","2","1","1","5","3","1","1","1","6","1","90","0","0","1","42","1","17","5","1","1","0","0","11","40000","18","8","3","1","4","0","13.40"
"2022","1","19","2020","2","1","1","4","2","1","1","1","2","1","90","0","0","1","42","2","17","5","1","1","0","0","11","40000","16","8","4","1","4","0","13.40"
"2022","1","19","2020","2","1","0","4","2","0","1","1","1","0","95","0","0","1","42","3","17","5","0","0","0","0","11","25000","16","8","3","2","3","0","13.40"
"2022","1","20","2020","2","1","0","5","2","0","1","1","3","1","95","0","0","1","42","1","17","5","1","1","0","0","11","20000","17","8","3","2","4","0","13.40"
"2022","1","19","2020","2","1","1","1","1","1","1","1","1","1","90","0","0","0","42","2","17","5","1","1","0","0","11","22000","14","9","5","1","4","0","13.40"
"2021","0","20","2020","4","0","0","2","2","0","1","1","3","0","99","0","0","0","42","1","17","5","0","1","0","0","36","200000","15","9","3","2","4","0","18.90"
"2022","1","20","2020","2","1","0","7","2","0","1","1","5","0","90","0","0","1","42","2","17","5","0","1","1","0","11","39000","16","7","2","2","4","0","13.40"
"2022","1","21","2020","2","1","1","2","1","1","1","1","3","1","90","0","0","0","42","1","14","5","0","1","0","0","11","30000","14","9","3","1","4","0","13.40"
"2022","1","21","2020","2","1","1","2","2","0","1","1","2","1","88","0","0","0","42","2","17","5","1","1","0","0","11","20000","14","9","4","1","4","0","20.00"
"2022","1","21","2020","2","1","1","5","2","0","1","1","1","1","95","0","0","1","52","2","17","5","1","1","0","0","11","30000","17","8","3","1","4","0","13.40"
"2022","1","20","2020","2","1","0","3","1","0","1","1","2","1","100","0","0","0","42","1","17","5","0","1","0","0","12","60000","15","9","3","2","4","0","19.50"
"2022","1","20","2020","2","1","1","2","2","0","1","1","1","0","100","0","0","1","42","2","17","5","0","1","0","0","11","40000","16","9","4","1","4","0","13.40"
"2022","1","22","2020","2","0","1","1","1","1","1","1","7","0","80","0","0","1","26","2","17","5","1","1","1","0","11","32000","11","9","5","1","4","15","13.40"
"2021","1","20","2020","2","1","0","1","2","0","1","1","2","1","100","0","0","0","42","1","1","5","0","1","0","0","11","30000","14","9","4","2","4","0","13.40"
"2021","0","20","2020","2","1","1","1","2","0","1","1","1","1","98","0","0","0","42","2","17","5","1","1","0","0","11","40000","14","9","5","1","4","0","13.40"
"2022","1","20","2020","2","1","1","4","1","1","1","1","3","1","85","0","0","1","52","2","17","5","0","1","0","0","11","30000","15","8","3","1","4","0","13.40"
"2021","0","20","2020","2","1","1","2","1","0","1","1","4","1","99","0","0","0","42","2","17","5","1","1","0","0","11","40000","14","9","5","1","4","0","13.40"
"2022","1","20","2020","2","1","1","1","1","0","1","1","4","1","75","0","0","1","42","1","17","5","0","1","0","0","11","35000","14","9","4","1","4","0","13.40"
"2021","1","21","2020","4","1","1","3","2","0","1","1","4","1","85","0","0","1","52","2","1","4","0","0","0","0","36","40000","18","9","3","1","4","0","13.40"
"2019","1","23","2017","11","0","1","1","2","0","1","1","2","1","100","0","0","0","52","2","17","5","1","0","0","0","126","15000","23","9","5","1","6","35","13.40"
"2020","1","21","2019","8","1","0","3","2","0","1","1","5","1","95","0","0","1","42","1","17","5","0","0","0","0","80","23000","23","9","3","1","6","0","19.20"
"2020","1","21","2019","8","0","1","3","2","0","1","1","2","2","95","0","0","1","52","2","17","5","1","0","0","0","88","62488","21","9","4","1","6","0","13.40"
"2018","1","24","2016","12","1","0","2","2","0","1","1","4","1","70","0","0","1","42","2","14","5","1","0","0","0","132","350000","26","9","5","1","6","0","16.55"
"2020","1","22","2019","8","0","0","3","2","1","1","1","4","1","100","0","0","1","38","2","14","5","0","0","0","0","88","50000","22","9","3","1","6","0","13.40"
"2022","0","21","2020","2","1","0","3","1","1","1","1","2","2","95","0","0","1","42","1","17","5","0","1","0","0","11","40000","15","9","3","2","4","0","13.40"
"2022","1","20","2020","2","0","0","3","2","0","1","1","2","1","100","0","0","1","52","5","17","4","0","0","0","0","11","35000","14","9","3","2","3","0","13.40"
"2020","0","21","2019","8","1","1","3","2","0","1","1","2","0","80","0","0","1","42","2","17","5","0","1","0","0","88","35000","23","9","3","1","7","0","13.40"
"2022","1","21","2020","2","0","0","8","2","1","1","1","1","0","100","0","0","1","52","2","16","5","1","0","0","0","11","30000","16","7","2","2","3","0","13.40"
"2020","1","23","2018","8","1","1","2","2","1","1","1","1","1","90","0","0","1","52","1","17","5","0","1","0","0","88","40000","23","9","4","1","7","0","13.40"
"2022","1","20","2020","2","1","1","4","1","0","1","1","1","1","95","0","0","1","42","1","17","5","1","1","0","0","11","35000","16","8","4","1","4","0","13.40"
"2020","0","21","2019","8","0","1","1","1","1","1","1","2","1","95","0","0","0","46","2","17","5","0","1","1","0","88","40000","18","8","4","1","5","15","13.40"
"2018","0","24","2017","12","0","1","2","2","0","1","1","3","1","80","1","0","1","26","1","14","3","1","1","0","0","136","30000","25","9","5","1","5","15","13.40"
"2020","1","22","2019","8","0","0","3","1","1","1","1","1","1","100","0","0","0","42","8","17","5","1","0","0","0","88","35000","20","8","4","1","5","35","13.40"
"2020","1","21","2019","8","0","1","4","1","0","1","1","2","0","95","0","0","1","42","2","17","5","0","0","0","0","88","25000","21","8","3","1","6","35","13.40"
"2022","0","20","2020","2","1","1","5","3","0","1","0","2","0","99","0","0","1","42","2","17","5","1","1","1","0","11","600000","17","7","3","1","4","5","13.40"
"2022","0","20","2019","2","1","1","4","3","0","1","1","4","0","100","0","0","1","42","2","17","1","0","1","0","0","11","35000","17","8","2","1","4","0","13.40"
"2020","0","20","2019","8","1","0","1","1","0","1","1","5","1","80","0","0","1","52","2","17","3","0","0","0","0","71","40000","21","10","5","1","6","0","17.45"
"2020","1","21","2019","8","0","0","4","1","1","1","1","2","1","100","0","0","1","52","2","15","5","0","0","0","0","85","20000","21","9","3","1","6","35","15.35"
"2019","1","21","2019","8","0","1","3","1","0","1","1","8","1","85","0","0","1","15","1","15","5","0","1","0","0","88","20000","20","9","3","1","5","15","13.40"
"2019","0","21","2019","8","0","1","3","1","0","1","1","1","1","95","0","0","1","42","1","15","5","0","1","0","0","83","92000","21","10","4","1","7","0","18.80"
"2020","1","22","2019","8","0","1","3","1","0","0","1","1","1","98","0","0","0","52","2","17","5","0","1","0","0","80","35000","20","8","3","1","5","15","13.50"
"2020","1","22","2019","8","0","0","2","1","0","1","1","2","1","95","0","0","0","52","2","15","5","0","0","0","0","88","20000","20","9","3","1","5","35","13.40"
"2020","1","23","2017","8","0","1","1","1","1","1","1","1","1","99","0","0","1","52","2","17","5","1","1","0","0","88","15000","21","9","6","1","5","15","13.40"
"2020","1","23","2017","8","1","1","2","1","1","1","1","1","1","96","0","0","0","26","2","15","5","1","1","0","0","88","30000","22","9","5","1","5","0","13.40"
"2022","1","21","2020","2","0","1","3","1","0","1","1","1","1","95","0","0","1","42","2","17","5","1","1","0","0","11","45000","13","9","4","1","4","15","18.25"
"2020","1","22","2019","8","0","1","1","1","0","1","1","15","1","100","0","0","1","52","1","13","4","0","1","0","0","88","90000","21","9","5","1","7","0","13.40"
"2020","0","21","2019","8","0","0","2","2","0","1","1","2","0","80","0","0","0","52","1","14","5","0","1","0","0","88","35000","19","8","3","1","5","15","13.40"
"2020","1","20","2019","8","1","1","2","1","1","1","1","3","0","95","0","0","0","52","3","17","5","0","0","0","0","88","20000","22","9","3","1","6","0","13.40"
